date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,name
2025-07-04,688347,52.44,53.5,54.91,51.73,114813,612406731.0,6.04,1.58,0.83,2.93,华虹公司
2025-07-07,688347,53.7,54.03,55.49,53.7,109758,600826468.0,3.35,0.99,0.53,2.8,华虹公司
2025-07-08,688347,53.94,54.09,54.6,53.43,72885,393916068.0,2.17,0.11,0.06,1.86,华虹公司
2025-07-09,688347,53.96,53.09,53.96,52.69,64970,345007351.0,2.35,-1.85,-1.0,1.66,华虹公司
2025-07-10,688347,52.75,53.11,53.46,52.3,57513,304293432.0,2.18,0.04,0.02,1.47,华虹公司
2025-07-11,688347,52.9,55.55,56.43,52.78,151564,835790978.0,6.87,4.59,2.44,3.87,华虹公司
2025-07-14,688347,55.55,54.05,55.76,54.05,80661,441330329.0,3.08,-2.7,-1.5,2.06,华虹公司
2025-07-15,688347,54.0,54.08,54.48,53.18,59421,320024853.0,2.41,0.06,0.03,1.52,华虹公司
2025-07-16,688347,53.91,53.37,54.59,53.26,59398,319429538.0,2.46,-1.31,-0.71,1.52,华虹公司
2025-07-17,688347,53.37,53.25,53.9,52.4,105976,562524344.0,2.81,-0.22,-0.12,2.71,华虹公司
2025-07-18,688347,53.28,52.93,53.71,52.53,53862,285527581.0,2.22,-0.6,-0.32,1.38,华虹公司
2025-07-21,688347,52.9,53.18,54.4,52.8,57584,307901411.0,3.02,0.47,0.25,1.47,华虹公司
2025-07-22,688347,53.19,53.72,55.2,52.94,102779,555858878.0,4.25,1.02,0.54,2.63,华虹公司
2025-07-23,688347,53.7,54.35,55.28,53.36,103703,563913399.0,3.57,1.17,0.63,2.65,华虹公司
2025-07-24,688347,54.3,58.01,58.22,54.04,216847,1235332698.0,7.69,6.73,3.66,5.54,华虹公司
2025-07-25,688347,57.99,59.85,59.99,57.61,176751,1039534401.0,4.1,3.17,1.84,4.52,华虹公司
2025-07-28,688347,60.0,60.07,60.88,59.4,160804,964897831.0,2.47,0.37,0.22,4.11,华虹公司
2025-07-29,688347,59.5,60.22,60.78,58.95,143050,857589742.0,3.05,0.25,0.15,3.65,华虹公司
2025-07-30,688347,59.99,58.48,60.2,57.6,167815,989113106.0,4.32,-2.89,-1.74,4.29,华虹公司
2025-07-31,688347,58.0,60.02,62.2,57.96,212030,1273803162.0,7.25,2.63,1.54,5.42,华虹公司
2025-08-01,688347,60.13,58.67,60.15,58.3,87884,519938510.0,3.08,-2.25,-1.35,2.25,华虹公司
2025-08-04,688347,59.6,63.1,64.06,59.6,284075,1776571132.0,7.6,7.55,4.43,7.26,华虹公司
2025-08-05,688347,63.1,64.5,66.0,62.62,260619,1675752880.0,5.36,2.22,1.4,6.66,华虹公司
2025-08-06,688347,64.5,65.37,66.38,62.82,214498,1385675832.0,5.52,1.35,0.87,5.48,华虹公司
2025-08-07,688347,64.0,66.8,67.79,64.0,250360,1654274479.0,5.8,2.19,1.43,6.14,华虹公司
2025-08-08,688347,65.8,64.75,66.28,64.26,223341,1455259831.0,3.02,-3.07,-2.05,5.48,华虹公司
2025-08-11,688347,64.6,62.66,64.81,61.4,256939,1605457526.0,5.27,-3.23,-2.09,6.3,华虹公司
2025-08-12,688347,62.82,65.99,66.66,62.31,243104,1567920237.0,6.94,5.31,3.33,5.96,华虹公司
2025-08-13,688347,66.15,68.04,68.68,65.56,211264,1426691614.0,4.73,3.11,2.05,5.18,华虹公司
2025-08-14,688347,68.4,70.5,72.04,67.07,289405,2035895938.0,7.3,3.62,2.46,7.1,华虹公司
2025-08-15,688347,69.99,78.5,81.88,68.91,337884,2522481346.0,18.4,11.35,8.0,8.29,华虹公司
2025-09-01,688347,88.0,85.71,93.92,80.76,777676,6689772809.0,16.76,9.18,7.21,19.07,华虹公司
